School,Conference,Head coach,First season,W,L,W%,W,L,W%,Offensive coordinator(s),Defensive coordinator(s),Special teams coordinator(s)
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Current,Current,Current,Career DI FBS,Career DI FBS,Career DI FBS,Unnamed: 10_level_1,Unnamed: 11_level_1,Unnamed: 12_level_1
Ohio State Buckeyes,Big Ten,Ryan Day,2019,38,4,.905,38,4,.905,Kevin Wilson,Jim Knowles,Parker Fleming
Penn State Nittany Lions,Big Ten,James Franklin,2014,70,34,.673,94,49,.657,Mike Yurcich,Manny Diaz / Anthony Poindexter,Stacy Collins
Purdue Boilermakers,Big Ten,Jeff Brohm,2017,30,31,.492,59,41,.590,Brian Brohm,Ron English / Mark Hagen,Karl Maslowski
Rutgers Scarlet Knights,Big Ten,Greg Schiano,2020[N 2],11,15,.423,79,82,.491,Sean Gleeson,Joe Harasymiak,Vacant
Wisconsin Badgers,Big Ten,Paul Chryst,2015,67,25,.728,86,44,.662,Bobby Engram,Jim Leonhard,Chris Haering
Charlotte 49ers,C-USA,Will Healy,2019,15,21,.417,15,21,.417,Mark Carney,Greg Brown,Tyler Hancock
Florida Atlantic Owls,C-USA,Willie Taggart,2020,12,14,.462,69,75,.479,Brent Dearmon,Todd Orlando,Chad Lunsford
Florida International Panthers,C-USA,Mike MacIntyre,2022,1,2,.333,47,67,.412,David Yost,Jovan Dewitt,Ricky Brumfield
Louisiana Tech Bulldogs,C-USA,Sonny Cumbie,2022,1,3,.250,2,6,.250,Jake Brown / Scott Parr,Scott Power,Dan Sharp
Middle Tennessee Blue Raiders,C-USA,Rick Stockstill,2006,104,99,.512,104,99,.512,Mitch Stewart,Scott Shafer,Kenneth Gilstrap
North Texas Mean Green,C-USA,Seth Littrell,2016,39,41,.488,39,41,.488,Mike Bloesch / Tommy Mainord,Phil Bennett / Jim Gush,Chris Petrilli
Rice Owls,C-USA,Mike Bloomgren,2018,13,33,.283,13,33,.283,Marques Tuiasosopo,Brian Smith,Chris Monfiletto
UAB Blazers,C-USA,Bryant Vincent,2022,2,1,.667,2,1,.667,Darin Hinshaw,David Reeves,Heath Thomas
UTEP Miners,C-USA,Dana Dimel,2018,14,36,.280,44,75,.370,Dave Warner,Bradley Dale Peveto,Aaron Price
UTSA Roadrunners,C-USA,Jeff Traylor,2020,21,9,.700,21,9,.700,Matt Mattox / Will Stein,Jess Loepp,Justin Burke
Western Kentucky Hilltoppers,C-USA,Tyson Helton,2019,26,17,.605,26,17,.605,Ben Arbuckle / Josh Crawford / Zack Lankford,Tyson Summers,Andy LaRussa
Army Black Knights,Independent,Jeff Monken,2014,59,44,.573,59,44,.573,Brent Davis,Nate Woody,Sean Saturnio
BYU Cougars,Independent,Kalani Sitake,2016,52,30,.634,52,30,.634,Aaron Roderick,Ilaisa Tuiaki,Ed Lamb
Liberty Flames,Independent,Hugh Freeze,2019,29,12,.707,78,39,.667,Kent Austin / Maurice Harris,Josh Aldridge / Jack Curtis,Tanner Burns
New Mexico State Aggies,Independent,Jerry Kill,2022,1,4,.200,53,51,.510,Tim Beck,Nate Dreiling / Melvin Rice,Vacant
Notre Dame Fighting Irish,Independent,Marcus Freeman,2022,2,3,.400,2,3,.400,Tommy Rees,Al Golden,Brian Mason
UConn Huskies,Independent,Jim L. Mora,2022,1,4,.200,47,34,.580,Nick Charlton,Lou Spanos,Doug Shearer
UMass Minutemen,Independent,Don Brown,2022,1,3,.250,1,3,.250,Steve Casula,Keith Dudzinski,Ben Albert
Akron Zips,MAC,Joe Moorhead,2022,1,3,.250,15,15,.500,Joe Moorhead,Tim Tibesar,Allen Tucker
Ball State Cardinals,MAC,Mike Neu,2016,29,44,.397,29,44,.397,Kevin Lynch,Tyler Stockton,Cory Connolly
Bowling Green Falcons,MAC,Scot Loeffler,2019,8,25,.242,8,25,.242,Greg Nosal / Max Warner,Eric Lewis,Alex Bayer
Buffalo Bulls,MAC,Maurice Linguist,2021,5,11,.313,5,11,.313,Shane Montgomery,Brandon Bailey,Chris White
Central Michigan Chippewas,MAC,Jim McElwain,2019,21,16,.568,65,44,.596,Paul Petrino,Robb Akey,Keith Murphy
Eastern Michigan Eagles,MAC,Chris Creighton,2014,39,59,.398,39,59,.398,Chris Creighton,Neal Neathery,Sam Sewell
Kent State Golden Flashes,MAC,Sean Lewis,2018,20,27,.426,20,27,.426,Andrew Sowder,Jeremiah Johnson,Zac Barton
Miami RedHawks,MAC,Chuck Martin,2014,41,54,.432,41,54,.432,Eric Koehler,Bill Brechin,Jacob Bronowski
Northern Illinois Huskies,MAC,Thomas Hammock,2019,15,21,.417,15,21,.417,Eric Eidsness,Derrick Jackson / Nick Benedetto,Nic McKissic-Luke
Ohio Bobcats,MAC,Tim Albin,2021,5,11,.313,5,11,.313,Scott Isphording / Allen Rudolph,Spence Nowinsky,Nate Faanes
Toledo Rockets,MAC,Jason Candle,2016,47,29,.618,47,29,.618,Mike Hallett / Robert Weiner,Vince Kehres / Craig Kuligowski,Ross Watson
Western Michigan Broncos,MAC,Tim Lester,2017,33,28,.541,33,28,.541,Eric Evans / Jeff Thorne,Lou Esposito,David Denham / Joe Palcic
Air Force Falcons,Mountain West,Troy Calhoun,2007,114,76,.600,114,76,.600,Mike Thiessen,Brian Knorr,Tim Horton
Boise State Broncos,Mountain West,Andy Avalos,2021,9,7,.563,9,7,.563,Dirk Koetter,Spencer Danielson / Kane Ioane,Keith Bhonapha / Kelly Poppinga
Colorado State Rams,Mountain West,Jay Norvell,2022,0,4,.000,33,30,.524,Matt Mumme,Freddie Banks,Tommy Perry
Fresno State Bulldogs,Mountain West,Jeff Tedford,2022 [N 3],27,16,.628,109,73,.599,Kirby Moore,Kevin Coyle,John Baxter
Hawaiʻi Rainbow Warriors,Mountain West,Timmy Chang,2022,1,4,.200,1,4,.200,Ian Shoemaker,Jacob Yoro,Thomas Sheffield
Nevada Wolf Pack,Mountain West,Ken Wilson,2022,2,3,.400,2,3,.400,Derek Sage,Kwame Agyeman / Mike Bethea,Joe Bolden
New Mexico Lobos,Mountain West,Danny Gonzales,2020,7,16,.304,7,16,.304,Derek Warehime,Rocky Long,Jamie Christian
San Diego State Aztecs,Mountain West,Brady Hoke,2020,18,8,.692,96,80,.545,Jeff Hecklinski,Kurt Mattix,Doug Deakin
San Jose State Spartans,Mountain West,Brent Brennan,2017,22,38,.367,22,38,.367,Kevin McGiven,Derrick Odum,Scott White
UNLV Rebels,Mountain West,Marcus Arroyo,2020,5,17,.227,5,17,.227,Nick Holz,Keith Heyward,Scott Baumgartner
Utah State Aggies,Mountain West,Blake Anderson,2021,12,7,.632,63,44,.589,Anthony Tucker,Ephraim Banda,Nick Paremski
Wyoming Cowboys,Mountain West,Craig Bohl,2014,48,52,.480,48,52,.480,Tim Polasek,Jay Sawvel,Shannon Moore
Arizona Wildcats,Pac-12,Jedd Fisch,2021,3,13,.188,4,14,.222,Brennan Carroll,Johnny Nansen,Jordan Paopao
Arizona State Sun Devils,Pac-12,Shaun Aguano,2022,0,1,.000,0,1,.000,Glenn Thomas,Donnie Henderson,Shawn Slocum
California Golden Bears,Pac-12,Justin Wilcox,2017,29,29,.500,29,29,.500,Bill Musgrave,Peter Sirmon,Vacant
Colorado Buffaloes,Pac-12,Karl Dorrell,2020,8,14,.364,43,41,.512,Mike Sanford Jr.,Chris Wilson,Vacant
Oregon Ducks,Pac-12,Dan Lanning,2022,3,1,.750,3,1,.750,Junior Adams / Kenny Dillingham,Tosh Lupoi / Matt Powledge,Joe Lorig
Oregon State Beavers,Pac-12,Jonathan Smith,2018,19,29,.396,19,29,.396,Brian Lindgren,Trent Bray,Jake Cookus
Stanford Cardinal,Pac-12,David Shaw,2011,94,47,.667,94,47,.667,Tavita Pritchard,Lance Anderson,Pete Alamar
UCLA Bruins,Pac-12,Chip Kelly,2018,22,25,.468,68,32,.680,Chip Kelly,Bill McGovern,Ikaika Malloe
USC Trojans,Pac-12,Lincoln Riley,2022,4,0,1.000,59,10,.855,Josh Henson,Alex Grinch,Ryan Dougherty
Utah Utes,Pac-12,Kyle Whittingham,2005,147,71,.674,147,71,.674,Andy Ludwig,Morgan Scalley,Sharrieff Shah
Washington Huskies,Pac-12,Kalen DeBoer,2022,4,0,1.000,16,6,.727,Ryan Grubb / JaMarcus Shephard,William Inge / Chuck Morrell,Eric Schmidt
Washington State Cougars,Pac-12,Jake Dickert,2021,6,4,.600,6,4,.600,Eric Morris,Brian Ward,Nick Whitworth
Alabama Crimson Tide,SEC,Nick Saban,2007,181,25,.879,273,67,.803,Bill O'Brien,Pete Golding,Coleman Hutzler
Arkansas Razorbacks,SEC,Sam Pittman,2020,15,12,.556,15,12,.556,Kendal Briles,Barry Odom,Scott Fountain
Auburn Tigers,SEC,Bryan Harsin,2021,9,8,.529,85,32,.726,Eric Kiesau,Jeff Schmedding,Roc Bellantoni
Florida Gators,SEC,Billy Napier,2022,2,2,.500,42,14,.750,Rob Sale,Sean Spencer / Patrick Toney,Chris Couch
Georgia Bulldogs,SEC,Kirby Smart,2016,70,15,.824,70,15,.824,Todd Monken,Will Muschamp / Glenn Schumann,Scott Cochran
